Generation,Fitness,Waypoints
3,313.53027000427244,"[{""Position"":{""X"":30.614191784655308,""Y"":53.88204142339049}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,310.83495836257936,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":39.461458429144145,""Y"":66.15954114851318}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,308.4806652069092,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,328.53324975967405,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
0,0,"[{""Position"":{""X"":21.147145677132084,""Y"":0.0}},{""Position"":{""X"":21.147145677132087,""Y"":69.60445077180556}},{""Position"":{""X"":11.853164369456557,""Y"":78.8984320794811}},{""Position"":{""X"":16.02094365479385,""Y"":78.8984320794811}},{""Position"":{""X"":38.71971494032459,""Y"":78.8984320794811}}]"
4,328.8603253364563,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
4,331.3042943954468,"[{""Position"":{""X"":25.03818683027847,""Y"":23.761169101791662}},{""Position"":{""X"":8.584382240442627,""Y"":80.26648925602161}},{""Position"":{""X"":48.1442149403027,""Y"":95.94612451489061}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":153.08363110364868,""Y"":204.35614256814762}}]"
4,322.37692947387694,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
4,319.16971216201785,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
4,294.959192943573,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
4,308.4806652069092,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
4,328.8603253364563,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
4,312.76498384475707,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
4,311.9697974205017,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
4,299.7243863105774,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":48.1442149403027,""Y"":95.94612451489061}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
0,0,"[{""Position"":{""X"":21.147145677132084,""Y"":0.0}},{""Position"":{""X"":21.147145677132087,""Y"":69.60445077180556}},{""Position"":{""X"":11.853164369456557,""Y"":78.8984320794811}},{""Position"":{""X"":16.02094365479385,""Y"":78.8984320794811}},{""Position"":{""X"":38.71971494032459,""Y"":78.8984320794811}}]"
