X,Y,GenerationNumber,X,Y
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,21,100,100
0,0,0,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,22,100,100
0,0,0,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,23,100,100
0,0,0,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,24,100,100
0,0,0,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,25,100,100
0,0,0,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,26,100,100
0,0,0,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
0,0,27,100,100
